Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep)
2021-01-01 00:15:00,-2.35,0.0,0.0
2021-01-01 00:30:00,-3.6,0.0,0.0
2021-01-01 00:45:00,-4.85,0.0,0.0
2021-01-01 01:00:00,-6.1,0.0,0.0
2021-01-01 01:15:00,-6.1,0.0,0.0
2021-01-01 01:30:00,-6.1,0.0,0.0
2021-01-01 01:45:00,-6.1,0.0,0.0
2021-01-01 02:00:00,-6.1,0.0,0.0
2021-01-01 02:15:00,-6.374999999999999,0.0,0.0
2021-01-01 02:30:00,-6.65,0.0,0.0
2021-01-01 02:45:00,-6.925000000000001,0.0,0.0
2021-01-01 03:00:00,-7.2,0.0,0.0
2021-01-01 03:15:00,-7.2,0.0,0.0
2021-01-01 03:30:00,-7.2,0.0,0.0
2021-01-01 03:45:00,-7.2,0.0,0.0
2021-01-01 04:00:00,-7.2,0.0,0.0
2021-01-01 04:15:00,-7.2,0.0,0.0
2021-01-01 04:30:00,-7.2,0.0,0.0
2021-01-01 04:45:00,-7.2,0.0,0.0
2021-01-01 05:00:00,-7.2,0.0,0.0
2021-01-01 05:15:00,-7.2,0.0,0.0
2021-01-01 05:30:00,-7.2,0.0,0.0
2021-01-01 05:45:00,-7.2,0.0,0.0
2021-01-01 06:00:00,-7.2,0.0,0.0
2021-01-01 06:15:00,-7.2,0.0,0.0
2021-01-01 06:30:00,-7.2,0.0,0.0
2021-01-01 06:45:00,-7.2,0.0,0.0
2021-01-01 07:00:00,-7.2,0.0,0.0
2021-01-01 07:15:00,-7.2,0.0,0.0
2021-01-01 07:30:00,-7.2,0.0,0.0
2021-01-01 07:45:00,-7.2,0.0,0.0
2021-01-01 08:00:00,-7.2,0.0,0.0
2021-01-01 08:15:00,-7.350000000000001,0.0,0.0
2021-01-01 08:30:00,-7.5,0.0,0.0
2021-01-01 08:45:00,-7.65,0.0,0.0
2021-01-01 09:00:00,-7.8,48.0,23.0
2021-01-01 09:15:00,-7.65,59.0,31.0
2021-01-01 09:30:00,-7.5,70.0,39.0
2021-01-01 09:45:00,-7.350000000000001,77.25,38.0
2021-01-01 10:00:00,-7.2,84.5,37.0
2021-01-01 10:15:00,-7.2,91.75,36.0
2021-01-01 10:30:00,-7.2,99.0,35.0
2021-01-01 10:45:00,-7.2,101.25,29.25
2021-01-01 11:00:00,-7.2,103.5,23.5
2021-01-01 11:15:00,-7.2,105.75,17.75
2021-01-01 11:30:00,-7.2,108.0,12.0
2021-01-01 11:45:00,-7.2,106.25,13.25
2021-01-01 12:00:00,-7.2,104.5,14.5
2021-01-01 12:15:00,-6.925000000000001,102.75,15.75
2021-01-01 12:30:00,-6.65,101.0,17.0
2021-01-01 12:45:00,-6.374999999999999,95.0,14.5
2021-01-01 13:00:00,-6.1,89.0,12.0
2021-01-01 13:15:00,-5.549999999999999,83.0,9.5
2021-01-01 13:30:00,-5.0,77.0,7.0
2021-01-01 13:45:00,-4.449999999999999,66.75,5.25
2021-01-01 14:00:00,-3.9,56.5,3.5
2021-01-01 14:15:00,-3.9,46.25,1.75
2021-01-01 14:30:00,-3.9,36.0,0.0
2021-01-01 14:45:00,-3.9,28.5,0.0
2021-01-01 15:00:00,-3.9,21.0,0.0
2021-01-01 15:15:00,-3.9,13.5,0.0
2021-01-01 15:30:00,-3.9,6.0,0.0
2021-01-01 15:45:00,-3.9,4.5,0.0
2021-01-01 16:00:00,-3.9,3.0,0.0
2021-01-01 16:15:00,-3.9,1.5,0.0
2021-01-01 16:30:00,-3.9,0.0,0.0
2021-01-01 16:45:00,-3.9,0.0,0.0
2021-01-01 17:00:00,-3.9,0.0,0.0
2021-01-01 17:15:00,-3.9,0.0,0.0
2021-01-01 17:30:00,-3.9,0.0,0.0
2021-01-01 17:45:00,-3.9,0.0,0.0
2021-01-01 18:00:00,-3.9,0.0,0.0
2021-01-01 18:15:00,-3.9,0.0,0.0
2021-01-01 18:30:00,-3.9,0.0,0.0
