,Consumed energy [Wh]
0,13027.075
1,14379.026
2,13580.637
3,14576.31
4,14410.945
5,15737.138
6,15660.384
7,14450.729
8,14363.477
9,14376.537
10,12828.818
11,14931.656
12,4216.3374
13,5115.9585
14,4922.387
15,5405.9287
16,6113.799
17,6830.6226
18,5118.1323
19,4632.895
20,5074.692
21,4536.286
22,4421.64
23,4652.7583
24,14851.725
25,14639.047
26,16050.124
27,15390.811
28,16143.54
29,15697.128
30,16387.326
31,15059.527
32,15163.331
33,15227.2705
34,15234.21
35,15907.932
36,5100.0376
37,5854.174
38,6094.8696
39,7489.228
40,7276.41
41,8434.762
42,6162.4556
43,5682.411
44,6208.8
45,5549.783
46,5584.002
47,5599.377
48,14800.828
49,13768.317
50,13722.652
51,14462.272
52,15761.669
53,14140.598
54,15181.609
55,14235.862
56,13135.061
57,15252.18
58,12744.085
59,13746.861
60,3022.7852
61,4530.61
62,4009.624
63,4223.329
64,5249.6543
65,5617.7236
66,3525.4224
67,3612.4604
68,3754.5557
69,3682.5708
70,3131.674
71,3069.7148
72,13926.129
73,14642.156
74,15817.673
75,15386.055
76,15197.64
77,15032.66
78,16016.199
79,15659.614
80,13541.279
81,14297.581
82,14566.82
83,14606.464
84,4120.4854
85,5928.906
86,5998.2637
87,6300.1094
88,6634.7734
89,7088.6978
90,5374.3394
91,5130.1836
92,5398.1333
93,4490.1255
94,5449.9927
95,5080.6123
96,14269.28
97,14872.862
98,16226.774
99,14947.191
100,15712.363
101,15666.966
102,16042.779
103,15482.593
104,14800.716
105,14618.367
106,15312.599
107,15156.977
108,5172.623
109,6517.69
110,6611.7227
111,5792.852
112,7818.1973
113,8009.7295
114,5712.1694
115,5999.5366
116,6894.017
117,5426.992
118,5949.1313
119,5291.4717
120,14777.97
121,14061.023
122,15563.753
123,14599.483
124,16205.788
125,15457.489
126,15229.311
127,14459.704
128,15132.527
129,14924.871
130,14314.814
131,15193.819
132,3778.4846
133,5367.1333
134,5270.6206
135,5386.285
136,6048.7417
137,6666.2446
138,4821.495
139,4587.1733
140,5210.6646
141,4041.3445
142,4453.5825
143,4773.5693
144,15082.924
145,14233.205
146,15867.858
147,15264.975
148,16220.249
149,15345.163
150,15967.62
151,14970.712
152,14042.229
153,15553.258
154,14673.701
155,14817.531
156,4907.1484
157,5897.377
158,6599.0396
159,6028.9224
160,7264.8145
161,7691.751
162,5716.1865
163,5919.135
164,5779.5293
165,5051.653
166,5587.9033
167,4869.371
168,14379.719
169,14980.982
170,16019.662
171,14643.016
172,16189.273
173,16436.05
174,16146.85
175,15901.921
176,15934.688
177,14764.134
178,14634.408
179,15200.525
180,4764.9604
181,6283.1665
182,6439.105
183,5961.478
184,7097.311
185,8415.11
186,5830.3066
187,5740.2295
188,6481.1973
189,5448.1533
190,5475.555
191,5517.907
192,13670.487
193,14785.721
194,14619.303
195,14697.352
196,15603.59
197,15381.623
198,15493.419
199,15282.514
200,14988.276
201,14009.588
202,13863.129
203,14496.101
204,4299.8413
205,5207.9404
206,4963.0127
207,5793.0615
208,6701.2046
209,6125.0625
210,4596.2217
211,4698.0767
212,4325.426
213,4700.1997
214,4134.276
215,3654.0825
216,13147.315
217,14387.372
218,14764.897
219,14651.346
220,14815.739
221,15655.89
222,15423.157
223,14629.051
224,14277.438
225,14076.965
226,14084.336
227,15195.474
228,3883.301
229,5033.334
230,4855.116
231,5831.9253
232,6259.826
233,7955.731
234,4720.6094
235,4965.58
236,5509.1816
237,4533.068
238,4223.35
239,4140.7026
240,14537.831
241,14887.781
242,15035.676
243,15715.883
244,15953.158
245,15917.737
246,16641.137
247,15553.856
248,15258.079
249,15142.656
250,14284.841
251,15433.798
252,4711.714
253,6052.962
254,5335.865
255,6057.285
256,7068.246
257,6592.2095
258,5571.1523
259,5091.099
260,4687.5796
261,5320.758
262,4498.775
263,4476.706
264,14078.138
265,14482.784
266,15591.527
267,14982.424
268,15796.934
269,15404.002
270,15216.369
271,15823.424
272,14285.015
273,14627.616
274,13825.494
275,13930.166
276,4276.38
277,5522.519
278,5151.6714
279,6732.422
280,6459.4824
281,7431.0835
282,5590.653
283,5212.3955
284,5126.9595
285,4853.3027
286,4629.6147
